sheet_id,volunteer_id,assigned_procedure,problem_id,ground_truth_answer,ocr_selected_answer,ocr_confidence,held_out,engine_top_hypothesis,engine_top_posterior,notes
S05,V05,scale_first_only,p4,5/12,,,false,,,
S05,V05,scale_first_only,p5,7/15,,,false,,,
S05,V05,scale_first_only,p6,5/12,,,false,,,
S05,V05,scale_first_only,p7,5/12,,,false,,,
S05,V05,scale_first_only,heldout,1/3,,,true,,,
S06,V06,add_across,p1,2/5,,,false,,,
S06,V06,add_across,p2,3/7,,,false,,,
S06,V06,add_across,p3,4/7,,,false,,,
S06,V06,add_across,p4,3/7,,,false,,,
S06,V06,add_across,p5,3/8,,,false,,,
S06,V06,add_across,p6,2/7,,,false,,,
S06,V06,add_across,p7,2/5,,,false,,,
S06,V06,add_across,heldout,3/10,,,true,,,
S07,V01,keep_first_denominator,p1,1/1,,,false,,,
S07,V01,keep_first_denominator,p2,1/1,,,false,,,
S07,V01,keep_first_denominator,p3,4/5,,,false,,,
S07,V01,keep_first_denominator,p4,3/4,,,false,,,
S07,V01,keep_first_denominator,p5,3/5,,,false,,,
S07,V01,keep_first_denominator,p6,1/2,,,false,,,
S07,V01,keep_first_denominator,p7,2/3,,,false,,,
S07,V01,keep_first_denominator,heldout,3/7,,,true,,,
S08,V02,denominator_only_common,p1,1/3,,,false,,,
S08,V02,denominator_only_common,p2,1/4,,,false,,,
S08,V02,denominator_only_common,p3,2/5,,,false,,,
S08,V02,denominator_only_common,p4,1/4,,,false,,,
S08,V02,denominator_only_common,p5,1/5,,,false,,,
S08,V02,denominator_only_common,p6,1/6,,,false,,,
S08,V02,denominator_only_common,p7,1/3,,,false,,,
S08,V02,denominator_only_common,heldout,1/7,,,true,,,
S09,V03,multiply_all,p1,1/6,,,false,,,
S09,V03,multiply_all,p2,1/6,,,false,,,
S09,V03,multiply_all,p3,3/10,,,false,,,
S09,V03,multiply_all,p4,1/6,,,false,,,
S09,V03,multiply_all,p5,2/15,,,false,,,
S09,V03,multiply_all,p6,1/16,,,false,,,
S09,V03,multiply_all,p7,1/8,,,false,,,
S09,V03,multiply_all,heldout,2/21,,,true,,,
S10,V04,scale_first_only,p1,2/3,,,false,,,
S10,V04,scale_first_only,p2,3/4,,,false,,,
S10,V04,scale_first_only,p3,7/10,,,false,,,
S10,V04,scale_first_only,p4,5/12,,,false,,,
S10,V04,scale_first_only,p5,7/15,,,false,,,
S10,V04,scale_first_only,p6,5/12,,,false,,,
S10,V04,scale_first_only,p7,5/12,,,false,,,
S10,V04,scale_first_only,heldout,1/3,,,true,,,
S11,V05,add_across,p1,2/5,,,false,,,
S11,V05,add_across,p2,3/7,,,false,,,
S11,V05,add_across,p3,4/7,,,false,,,
S11,V05,add_across,p4,3/7,,,false,,,
S11,V05,add_across,p5,3/8,,,false,,,
S11,V05,add_across,p6,2/7,,,false,,,
S11,V05,add_across,p7,2/5,,,false,,,
S11,V05,add_across,heldout,3/10,,,true,,,
S12,V06,keep_first_denominator,p1,1/1,,,false,,,
S12,V06,keep_first_denominator,p2,1/1,,,false,,,
S12,V06,keep_first_denominator,p3,4/5,,,false,,,
S12,V06,keep_first_denominator,p4,3/4,,,false,,,
S12,V06,keep_first_denominator,p5,3/5,,,false,,,
S12,V06,keep_first_denominator,p6,1/2,,,false,,,
S12,V06,keep_first_denominator,p7,2/3,,,false,,,
S12,V06,keep_first_denominator,heldout,3/7,,,true,,,
S13,V01,denominator_only_common,p1,1/3,,,false,,,
S13,V01,denominator_only_common,p2,1/4,,,false,,,
S13,V01,denominator_only_common,p3,2/5,,,false,,,
S13,V01,denominator_only_common,p4,1/4,,,false,,,
S13,V01,denominator_only_common,p5,1/5,,,false,,,
S13,V01,denominator_only_common,p6,1/6,,,false,,,
S13,V01,denominator_only_common,p7,1/3,,,false,,,
S13,V01,denominator_only_common,heldout,1/7,,,true,,,
S14,V02,multiply_all,p1,1/6,,,false,,,
S14,V02,multiply_all,p2,1/6,,,false,,,
S14,V02,multiply_all,p3,3/10,,,false,,,
S14,V02,multiply_all,p4,1/6,,,false,,,
S14,V02,multiply_all,p5,2/15,,,false,,,
S14,V02,multiply_all,p6,1/16,,,false,,,
S14,V02,multiply_all,p7,1/8,,,false,,,
S14,V02,multiply_all,heldout,2/21,,,true,,,
S15,V03,scale_first_only,p1,2/3,,,false,,,
S15,V03,scale_first_only,p2,3/4,,,false,,,
S15,V03,scale_first_only,p3,7/10,,,false,,,
S15,V03,scale_first_only,p4,5/12,,,false,,,
S15,V03,scale_first_only,p5,7/15,,,false,,,
S15,V03,scale_first_only,p6,5/12,,,false,,,
S15,V03,scale_first_only,p7,5/12,,,false,,,
S15,V03,scale_first_only,heldout,1/3,,,true,,,
S16,V04,add_across,p1,2/5,,,false,,,
S16,V04,add_across,p2,3/7,,,false,,,
S16,V04,add_across,p3,4/7,,,false,,,
S16,V04,add_across,p4,3/7,,,false,,,
S16,V04,add_across,p5,3/8,,,false,,,
S16,V04,add_across,p6,2/7,,,false,,,
S16,V04,add_across,p7,2/5,,,false,,,
S16,V04,add_across,heldout,3/10,,,true,,,
S17,V05,keep_first_denominator,p1,1/1,,,false,,,
S17,V05,keep_first_denominator,p2,1/1,,,false,,,
S17,V05,keep_first_denominator,p3,4/5,,,false,,,
S17,V05,keep_first_denominator,p4,3/4,,,false,,,
S17,V05,keep_first_denominator,p5,3/5,,,false,,,
S17,V05,keep_first_denominator,p6,1/2,,,false,,,
S17,V05,keep_first_denominator,p7,2/3,,,false,,,
S17,V05,keep_first_denominator,heldout,3/7,,,true,,,
S18,V06,denominator_only_common,p1,1/3,,,false,,,
S18,V06,denominator_only_common,p2,1/4,,,false,,,
S18,V06,denominator_only_common,p3,2/5,,,false,,,
S18,V06,denominator_only_common,p4,1/4,,,false,,,
S18,V06,denominator_only_common,p5,1/5,,,false,,,
S18,V06,denominator_only_common,p6,1/6,,,false,,,
S18,V06,denominator_only_common,p7,1/3,,,false,,,
S18,V06,denominator_only_common,heldout,1/7,,,true,,,
S19,V01,multiply_all,p1,1/6,,,false,,,
S19,V01,multiply_all,p2,1/6,,,false,,,
S19,V01,multiply_all,p3,3/10,,,false,,,
S19,V01,multiply_all,p4,1/6,,,false,,,
S19,V01,multiply_all,p5,2/15,,,false,,,
S19,V01,multiply_all,p6,1/16,,,false,,,
S19,V01,multiply_all,p7,1/8,,,false,,,
S19,V01,multiply_all,heldout,2/21,,,true,,,
S20,V02,scale_first_only,p1,2/3,,,false,,,
S20,V02,scale_first_only,p2,3/4,,,false,,,
S20,V02,scale_first_only,p3,7/10,,,false,,,
S20,V02,scale_first_only,p4,5/12,,,false,,,
S20,V02,scale_first_only,p5,7/15,,,false,,,
S20,V02,scale_first_only,p6,5/12,,,false,,,
S20,V02,scale_first_only,p7,5/12,,,false,,,
S20,V02,scale_first_only,heldout,1/3,,,true,,,
S21,V03,add_across,p1,2/5,,,false,,,
S21,V03,add_across,p2,3/7,,,false,,,
S21,V03,add_across,p3,4/7,,,false,,,
S21,V03,add_across,p4,3/7,,,false,,,
S21,V03,add_across,p5,3/8,,,false,,,
S21,V03,add_across,p6,2/7,,,false,,,
S21,V03,add_across,p7,2/5,,,false,,,
S21,V03,add_across,heldout,3/10,,,true,,,
S22,V04,keep_first_denominator,p1,1/1,,,false,,,
S22,V04,keep_first_denominator,p2,1/1,,,false,,,
S22,V04,keep_first_denominator,p3,4/5,,,false,,,
S22,V04,keep_first_denominator,p4,3/4,,,false,,,
S22,V04,keep_first_denominator,p5,3/5,,,false,,,
S22,V04,keep_first_denominator,p6,1/2,,,false,,,
S22,V04,keep_first_denominator,p7,2/3,,,false,,,
S22,V04,keep_first_denominator,heldout,3/7,,,true,,,
S23,V05,denominator_only_common,p1,1/3,,,false,,,
S23,V05,denominator_only_common,p2,1/4,,,false,,,
S23,V05,denominator_only_common,p3,2/5,,,false,,,
S23,V05,denominator_only_common,p4,1/4,,,false,,,
S23,V05,denominator_only_common,p5,1/5,,,false,,,
S23,V05,denominator_only_common,p6,1/6,,,false,,,
S23,V05,denominator_only_common,p7,1/3,,,false,,,
S23,V05,denominator_only_common,heldout,1/7,,,true,,,
S24,V06,multiply_all,p1,1/6,,,false,,,
S24,V06,multiply_all,p2,1/6,,,false,,,
S24,V06,multiply_all,p3,3/10,,,false,,,
S24,V06,multiply_all,p4,1/6,,,false,,,
S24,V06,multiply_all,p5,2/15,,,false,,,
S24,V06,multiply_all,p6,1/16,,,false,,,
S24,V06,multiply_all,p7,1/8,,,false,,,
S24,V06,multiply_all,heldout,2/21,,,true,,,
S25,V01,scale_first_only,p1,2/3,,,false,,,
S25,V01,scale_first_only,p2,3/4,,,false,,,
S25,V01,scale_first_only,p3,7/10,,,false,,,
S25,V01,scale_first_only,p4,5/12,,,false,,,
S25,V01,scale_first_only,p5,7/15,,,false,,,
S25,V01,scale_first_only,p6,5/12,,,false,,,
S25,V01,scale_first_only,p7,5/12,,,false,,,
S25,V01,scale_first_only,heldout,1/3,,,true,,,
S26,V02,add_across,p1,2/5,,,false,,,
S26,V02,add_across,p2,3/7,,,false,,,
S26,V02,add_across,p3,4/7,,,false,,,
S26,V02,add_across,p4,3/7,,,false,,,
S26,V02,add_across,p5,3/8,,,false,,,
S26,V02,add_across,p6,2/7,,,false,,,
S26,V02,add_across,p7,2/5,,,false,,,
S26,V02,add_across,heldout,3/10,,,true,,,
S27,V03,keep_first_denominator,p1,1/1,,,false,,,
S27,V03,keep_first_denominator,p2,1/1,,,false,,,
S27,V03,keep_first_denominator,p3,4/5,,,false,,,
S27,V03,keep_first_denominator,p4,3/4,,,false,,,
S27,V03,keep_first_denominator,p5,3/5,,,false,,,
S27,V03,keep_first_denominator,p6,1/2,,,false,,,
S27,V03,keep_first_denominator,p7,2/3,,,false,,,
S27,V03,keep_first_denominator,heldout,3/7,,,true,,,
S28,V04,denominator_only_common,p1,1/3,,,false,,,
S28,V04,denominator_only_common,p2,1/4,,,false,,,
S28,V04,denominator_only_common,p3,2/5,,,false,,,
S28,V04,denominator_only_common,p4,1/4,,,false,,,
S28,V04,denominator_only_common,p5,1/5,,,false,,,
S28,V04,denominator_only_common,p6,1/6,,,false,,,
S28,V04,denominator_only_common,p7,1/3,,,false,,,
S28,V04,denominator_only_common,heldout,1/7,,,true,,,
S29,V05,multiply_all,p1,1/6,,,false,,,
S29,V05,multiply_all,p2,1/6,,,false,,,
S29,V05,multiply_all,p3,3/10,,,false,,,
S29,V05,multiply_all,p4,1/6,,,false,,,
S29,V05,multiply_all,p5,2/15,,,false,,,
S29,V05,multiply_all,p6,1/16,,,false,,,
S29,V05,multiply_all,p7,1/8,,,false,,,
S29,V05,multiply_all,heldout,2/21,,,true,,,
S30,V06,scale_first_only,p1,2/3,,,false,,,
S30,V06,scale_first_only,p2,3/4,,,false,,,
S30,V06,scale_first_only,p3,7/10,,,false,,,
S30,V06,scale_first_only,p4,5/12,,,false,,,
S30,V06,scale_first_only,p5,7/15,,,false,,,
S30,V06,scale_first_only,p6,5/12,,,false,,,
S30,V06,scale_first_only,p7,5/12,,,false,,,
S30,V06,scale_first_only,heldout,1/3,,,true,,,
