sample_id,source_sample_id,image_path,expected_visible_expression,expected_final_answer,expected_intermediate_lines,expected_step_features,expected_symbol,usable_for_transcription,usable_for_end_to_end_diagnosis,license_reference,sha256
hasy_015,hasy-data/v2-00385.png,images/hasy_015.png,,,,,3,true,false,ODC Open Database License v1.0 (ODbL),c0195edfe980613544ea548b3354412cf2e0208a7ff2ae76e5a156410f65409d
hasy_016,hasy-data/v2-00394.png,images/hasy_016.png,,,,,4,true,false,ODC Open Database License v1.0 (ODbL),483938eb54a0e6d6856aa78cf0e1f6597a62e57c16ab7cdc1b689331537f0c12
hasy_017,hasy-data/v2-00395.png,images/hasy_017.png,,,,,4,true,false,ODC Open Database License v1.0 (ODbL),74ad38b5851e278f17a7025cb909a9fa0e3eec829e28ff1fff57ffa1e41443fa
hasy_018,hasy-data/v2-00396.png,images/hasy_018.png,,,,,4,true,false,ODC Open Database License v1.0 (ODbL),c728a92ab151b687aed4a024c68371baba5030870050d4fb371eeb3687516a0a
hasy_019,hasy-data/v2-00397.png,images/hasy_019.png,,,,,4,true,false,ODC Open Database License v1.0 (ODbL),cf222c616bd7db8384cf589f07a6715eed72b36f598f7f54a3800969a09cec95
hasy_020,hasy-data/v2-00401.png,images/hasy_020.png,,,,,5,true,false,ODC Open Database License v1.0 (ODbL),a53b6c4ff9093c4661b2946e8a62df513973321f1829af42b56770903d1f136f
hasy_021,hasy-data/v2-00402.png,images/hasy_021.png,,,,,5,true,false,ODC Open Database License v1.0 (ODbL),48622ff725d315dac6236fe0e1868c605428716bc11b3779145f5948cce16947
hasy_022,hasy-data/v2-00403.png,images/hasy_022.png,,,,,5,true,false,ODC Open Database License v1.0 (ODbL),17efca15e045477da113088b1342b82e84d25642b5e1e3aaa1becaae070794b8
hasy_023,hasy-data/v2-00404.png,images/hasy_023.png,,,,,5,true,false,ODC Open Database License v1.0 (ODbL),9011c6479857d4ce658be9747b0f7df809875f1cdf4ae3cab1411a10517b01e3
hasy_024,hasy-data/v2-00409.png,images/hasy_024.png,,,,,6,true,false,ODC Open Database License v1.0 (ODbL),c23ffdee7f4ea413cbfcc18b3f81161af45850c24bf2425a2220eefbadbd8eb7
hasy_025,hasy-data/v2-00410.png,images/hasy_025.png,,,,,6,true,false,ODC Open Database License v1.0 (ODbL),0598a178364d47aafac250cb5a7b655da3a2b5b4d369e28485bf8b5028fa61f9
hasy_026,hasy-data/v2-00411.png,images/hasy_026.png,,,,,6,true,false,ODC Open Database License v1.0 (ODbL),1b990f34e1fc9a2321b79304dac957ab32367a7ca746a27cf2e24e1e33f7d718
hasy_027,hasy-data/v2-00412.png,images/hasy_027.png,,,,,6,true,false,ODC Open Database License v1.0 (ODbL),26312082eee51856039349a3db298b6f13f78be04c39345c1e3a4f5770512569
